exercise,count
but,5021
was,4521
some,4279
back,4212
squat,4019
new,3690
there,3675
how,3640
gym,3575
open,3328
training,3148
weight,3114
press,3091
who,3043
first,3039
they,2903
last,2791
over,2750
also,2716
perform,2674
use,2572
pull-ups,2554
has,2524
than,2520
year,2453
clean,2415
classes,2343
make,2290
power,2290
front,2193
been,2190
through,2153
these,2138
don,2133
which,2131
box,2126
want,2123
see,2110
good,2080
start,2079
take,2066
know,2052
run,2049
other,2038
them,2008
brooklyn,2008
event,2002
saturday,1988
her,1974
squats,1971
please,1944
feel,1900
few,1897
movement,1894
better,1883
snatch,1877
com,1876
now,1872
where,1837
deadlift,1824
next,1823
great,1800
help,1799
off,1794
fitness,1780
athletes,1755
need,1748
may,1745
body,1744
well,1741
come,1737
strict,1706
weeks,1700
check,1694
would,1685
ups,1682
community,1651
push-ups,1641
arm,1640
she,1620
while,1617
challenge,1604
loads,1600
sunday,1596
times,1592
his,1582
had,1541
bench,1537
starting,1527
doing,1523
burpees,1517
many,1504
still,1499
yesterday,1499
wod,1459
full,1448
around,1434
did,1430
sign,1421
way,1419
hang,1388
movements,1374
barbell,1343
active,1333
during,1328
register,1325
performance,1322
were,1307
schedule,1303
wall,1293
really,1281
members,1278
going,1275
david,1257
right,1255
learn,1252
years,1247
kipping,1246
ring,1243
tomorrow,1239
fox,1235
swings,1224
top,1220
look,1215
working,1207
much,1204
recovery,1202
high,1198
things,1198
scale,1190
level,1187
got,1182
gone,1153
jerk,1149
even,1145
life,1138
email,1137
kettlebell,1136
dumbbell,1132
lift,1123
why,1121
monday,1120
unbroken,1115
same,1111
rows,1108
overhead,1106
sure,1106
cleans,1101
bad,1098
something,1096
very,1095
days,1092
move,1091
workouts,1088
unders,1085
friday,1084
love,1082
free,1081
always,1078
goal,1060
complete,1053
end,1051
let,1045
fight,1039
part,1038
find,1035
kids,1035
being,1029
fun,1026
add,1022
results,1021
think,1015
those,1010
choose,1006
place,995
own,991
yoga,991
women,990
bring,985
night,985
running,984
athlete,979
handstand,969
leg,967
deadlifts,956
lifting,956
practice,950
below,948
across,946
crossfitsouthbrooklyn,936
yourself,911
under,910
exposure,907
food,905
jump,904
able,903
snatches,896
too,892
again,886
thrusters,884
getting,880
another,878
lifts,878
could,872
games,869
show,866
stay,864
following,863
board,862
strong,858
south,857
support,851
looking,850
left,844
questions,844
series,844
big,842
heavier,839
weekend,836
started,833
month,833
experience,831
competition,830
info,827
because,819
jumps,815
possible,814
lunges,813
floor,811
technique,799
exercise,793
muscle,793
mobility,793
wednesday,792
volume,772
bit,768
page,766
blog,764
meet,760
aim,758
cancelled,758
tempo,757
warm-up,753
rack,752
since,748
friends,748
interested,744
video,741
join,738
plank,737
presses,736
done,735
pace,734
happy,727
point,724
challenging,721
shoulder,720
might,720
ball,714
york,713
position,712
does,703
using,701
plan,697
effort,695
scaling,695
pull-up,678
different,678
session,677
world,673
put,673
enough,672
reverse,670
alt,670
paleo,669
compare,667
details,664
past,663
remember,663
away,660
range,659
hit,654
options,652
made,651
dips,649
gymnastics,648
desk,646
low,643
thursday,643
morning,643
olympic,642
folks,639
found,633
coming,631
once,626
min,626
give,625
without,620
less,618
murph,615
weightlifting,615
carry,614
moving,613
workshop,610
split,603
stuff,603
events,600
share,600
build,598
registration,596
option,595
rowing,591
course,589
exercises,586
member,586
art,584
never,582
thanks,580
sit-ups,576
fit,576
knee,572
muscle-ups,571
goals,571
contact,570
based,569
tuesday,568
rope,564
pretty,562
nyc,562
small,560
double-unders,559
head,558
outside,554
iron,551
whiteboard,549
favorite,549
everything,547
health,546
hands,542
someone,542
say,540
tell,539
nick,539
person,537
test,536
men,535
park,533
final,532
participants,532
complex,530
physical,528
improve,528
throughout,527
intensity,526
forward,525
family,525
fundraising,525
completed,524
affiliate,524
jumping,523
july,520
coaching,520
grip,518
form,517
participate,516
building,514
must,514
used,513
months,513
starts,511
ever,511
recently,511
space,510
consider,510
ask,509
whole,507
didn,507
perfect,505
foot,505
club,503
subway,503
margie,502
increase,501
change,500
chris,500
welcome,498
weights,497
continue,497
sec,496
school,495
fast,493
above,492
cost,491
available,489
him,487
june,486
